query,tweet,label
1,1.2842E+18,0
1,1.29132E+18,1
1,1.28883E+18,1
1,1.28885E+18,1
1,1.28526E+18,1
1,1.28179E+18,1
1,1.28654E+18,1
1,1.2918E+18,0
2,1.29181E+18,1
2,1.28155E+18,1
2,1.28173E+18,0
2,1.28168E+18,0
2,1.28686E+18,1
2,1.28587E+18,1
2,1.28453E+18,1
2,1.28166E+18,0
3,1.28494E+18,1
3,1.28111E+18,1
3,1.29101E+18,0
3,1.28109E+18,1
3,1.28343E+18,1
3,1.28345E+18,1
3,1.28269E+18,1
3,1.28109E+18,1
4,1.28607E+18,1
4,1.28629E+18,1
4,1.28669E+18,0
4,1.28653E+18,1
4,1.28603E+18,1
4,1.28393E+18,0
4,1.28652E+18,1
4,1.28208E+18,0
5,1.28611E+18,0
5,1.29103E+18,1
5,1.28661E+18,1
5,1.28642E+18,0
5,1.28646E+18,1
5,1.28751E+18,1
5,1.28636E+18,0
5,1.2864E+18,0
6,1.29097E+18,1
6,1.29119E+18,0
6,1.28608E+18,0
6,1.28776E+18,1
6,1.28641E+18,1
6,1.28631E+18,0
6,1.28351E+18,1
6,1.29107E+18,1
7,1.28483E+18,1
7,1.28463E+18,1
7,1.28102E+18,1
7,1.28413E+18,1
7,1.28096E+18,1
7,1.28342E+18,1
7,1.28739E+18,1
7,1.28366E+18,0
8,1.291E+18,1
8,1.29114E+18,1
8,1.2912E+18,1
8,1.2913E+18,1
8,1.29122E+18,1
8,1.29119E+18,1
8,1.29134E+18,1
8,1.29117E+18,1
9,1.28356E+18,1
9,1.28387E+18,0
9,1.28644E+18,1
9,1.28562E+18,1
9,1.28388E+18,1
9,1.2846E+18,1
9,1.28379E+18,1
9,1.28395E+18,0
10,1.2836E+18,1
10,1.28884E+18,1
10,1.28146E+18,1
10,1.28885E+18,1
10,1.28885E+18,1
10,1.28885E+18,1
10,1.28502E+18,1
10,1.28884E+18,1
11,1.2853E+18,1
11,1.28599E+18,0
11,1.28106E+18,1
11,1.28097E+18,1
11,1.28096E+18,1
11,1.28637E+18,0
11,1.28094E+18,1
11,1.2918E+18,1
12,1.28164E+18,0
12,1.28099E+18,0
12,1.28099E+18,0
12,1.28101E+18,0
12,1.28422E+18,0
12,1.28101E+18,0
12,1.281E+18,0
12,1.28594E+18,0
13,1.28422E+18,0
13,1.28381E+18,0
13,1.28416E+18,1
13,1.28578E+18,1
13,1.28394E+18,0
13,1.2816E+18,0
13,1.28422E+18,0
13,1.28381E+18,0
14,1.28453E+18,1
14,1.28101E+18,1
14,1.28101E+18,1
14,1.28354E+18,1
14,1.28677E+18,1
14,1.28499E+18,1
14,1.2812E+18,1
14,1.28101E+18,1
15,1.29131E+18,0
15,1.28583E+18,0
15,1.29173E+18,1
